
22:13:39,0%,0%,4.02W,inf%
22:13:40,0%,0%,4.22W,inf%
22:13:41,0%,0%,20.36W,2.4%
22:13:42,0%,0%,65.22W,inf%
22:13:44,0%,0%,75.43W,inf%
22:13:45,0%,0%,53.80W,3.0%
22:13:46,0%,0%,45.20W,inf%
22:13:47,0%,0%,45.26W,2.6%
22:13:48,0%,0%,45.19W,inf%
22:13:49,0%,0%,45.00W,inf%
22:13:50,0%,0%,45.14W,2.2%
22:13:51,0%,0%,45.22W,inf%
22:13:52,0%,0%,45.31W,inf%
22:13:53,0%,0%,45.23W,2.3%
22:13:54,0%,0%,45.13W,inf%
22:13:55,0%,0%,44.97W,inf%
22:13:56,0%,0%,44.97W,2.4%
22:13:57,0%,0%,45.13W,inf%
22:13:59,0%,0%,45.30W,inf%
22:14:00,0%,0%,45.25W,2.4%
22:14:01,0%,0%,45.19W,inf%
22:14:02,0%,0%,45.08W,inf%
22:14:03,0%,0%,54.74W,1.8%
22:14:04,0%,0%,45.20W,inf%
22:14:05,0%,0%,45.36W,inf%
22:14:06,0%,0%,45.31W,1.2%
22:14:07,0%,0%,45.16W,inf%
22:14:08,0%,0%,44.96W,inf%
22:14:09,0%,0%,45.07W,1.3%
22:14:10,0%,0%,45.31W,inf%
22:14:11,0%,0%,45.33W,inf%
22:14:12,0%,0%,45.29W,2.8%
22:14:13,0%,0%,45.23W,inf%
22:14:15,0%,0%,45.25W,inf%
22:14:16,0%,0%,45.26W,2.3%
22:14:17,0%,0%,45.35W,inf%
22:14:18,0%,0%,45.33W,inf%
22:14:19,0%,0%,45.44W,2.3%
22:14:20,0%,0%,45.27W,inf%
22:14:21,0%,0%,45.04W,inf%
22:14:22,0%,0%,45.20W,2.3%
22:14:23,0%,0%,45.19W,inf%
22:14:24,0%,0%,45.48W,inf%
22:14:25,0%,0%,45.49W,2.6%
22:14:26,0%,0%,45.21W,inf%
22:14:27,0%,0%,45.11W,inf%
22:14:28,0%,0%,45.15W,2.5%
22:14:29,0%,0%,45.27W,inf%
22:14:31,0%,0%,45.39W,2.3%
22:14:32,0%,0%,45.30W,inf%
22:14:33,0%,0%,45.14W,inf%
22:14:34,0%,0%,45.05W,2.4%
22:14:35,0%,0%,45.11W,inf%
22:14:36,0%,0%,45.27W,inf%
22:14:37,0%,0%,45.36W,2.4%
22:14:38,0%,0%,45.29W,inf%
22:14:39,0%,0%,45.16W,inf%
22:14:40,0%,0%,67.49W,2.3%
22:14:41,0%,0%,45.13W,inf%
22:14:42,0%,0%,45.25W,inf%
22:14:43,0%,0%,45.33W,2.6%
22:14:44,9%,4%,52.06W,inf%
22:14:45,0%,0%,129.82W,inf%
22:14:47,0%,0%,70.19W,2.5%
22:14:48,0%,0%,45.13W,inf%
22:14:49,0%,0%,47.39W,inf%
22:14:50,0%,0%,45.27W,2.5%
22:14:51,0%,0%,45.19W,inf%
22:14:52,88%,34%,378.76W,inf%
22:14:53,89%,35%,535.36W,2.3%
22:14:54,74%,45%,439.23W,inf%
22:14:55,79%,49%,415.48W,inf%
22:14:56,76%,51%,427.81W,2.4%
22:14:57,84%,57%,449.49W,inf%
22:14:58,84%,56%,442.88W,inf%
22:14:59,75%,44%,433.08W,2.6%
22:15:01,77%,48%,416.57W,inf%
22:15:02,81%,47%,387.65W,inf%
22:15:03,78%,41%,403.31W,3.4%
22:15:04,76%,46%,422.89W,inf%
22:15:05,81%,40%,450.37W,inf%
22:15:06,78%,47%,410.50W,2.3%
22:15:07,77%,45%,418.09W,inf%
22:15:08,83%,56%,435.01W,inf%
22:15:09,82%,55%,444.67W,2.6%
22:15:10,83%,58%,444.61W,inf%
22:15:11,85%,58%,444.60W,2.5%
22:15:12,83%,57%,445.24W,inf%
22:15:13,85%,60%,443.06W,inf%
22:15:14,84%,58%,445.47W,2.6%
22:15:15,84%,58%,446.94W,inf%
22:15:17,83%,57%,447.67W,inf%
22:15:18,82%,55%,447.71W,2.4%
