
22:59:33,0%,0%,7.95W,-nan%
22:59:34,0%,0%,7.55W,-nan%
22:59:36,0%,0%,7.99W,0.0%
22:59:37,0%,0%,7.92W,-nan%
22:59:38,0%,0%,7.62W,-nan%
22:59:39,0%,0%,7.81W,-nan%
22:59:40,0%,0%,7.90W,-nan%
22:59:41,0%,0%,7.95W,0.0%
22:59:42,0%,0%,7.20W,-nan%
22:59:43,0%,0%,8.02W,-nan%
22:59:44,0%,0%,28.34W,-nan%
22:59:45,0%,0%,58.31W,-nan%
22:59:46,47%,1%,57.93W,0.0%
22:59:47,0%,0%,82.24W,inf%
22:59:48,0%,0%,78.51W,-nan%
22:59:49,0%,0%,57.47W,-nan%
22:59:50,0%,0%,57.63W,-nan%
22:59:52,0%,0%,57.69W,0.0%
22:59:53,0%,0%,57.72W,-nan%
22:59:54,0%,0%,57.79W,-nan%
22:59:55,0%,0%,57.72W,-nan%
22:59:56,0%,0%,57.88W,-nan%
22:59:57,0%,0%,57.92W,0.0%
22:59:58,0%,0%,58.07W,-nan%
22:59:59,0%,0%,58.11W,-nan%
23:00:00,1%,0%,58.27W,-nan%
23:00:01,0%,0%,57.72W,0.0%
23:00:02,0%,0%,57.72W,-nan%
23:00:03,0%,0%,57.83W,-nan%
23:00:04,0%,0%,57.50W,-nan%
23:00:05,0%,0%,57.55W,-nan%
23:00:06,0%,0%,57.81W,100.0%
23:00:07,0%,0%,57.63W,-nan%
23:00:09,0%,0%,57.66W,-nan%
23:00:10,0%,0%,57.21W,-nan%
23:00:11,0%,0%,57.36W,-nan%
23:00:12,0%,0%,57.43W,0.0%
23:00:13,0%,0%,57.27W,-nan%
23:00:14,0%,0%,57.62W,-nan%
23:00:15,0%,0%,57.80W,-nan%
23:00:16,0%,0%,57.63W,-nan%
23:00:17,0%,0%,57.61W,0.0%
23:00:18,0%,0%,57.82W,-nan%
23:00:19,0%,0%,57.54W,-nan%
23:00:20,0%,0%,57.77W,-nan%
23:00:21,0%,0%,57.71W,-nan%
23:00:22,0%,0%,57.99W,100.0%
23:00:23,0%,0%,57.87W,-nan%
23:00:24,0%,0%,35.33W,-nan%
23:00:25,55%,48%,29.06W,-nan%
23:00:27,0%,0%,58.05W,-nan%
23:00:28,0%,0%,57.58W,0.0%
23:00:29,0%,0%,57.73W,-nan%
23:00:30,0%,0%,57.88W,-nan%
23:00:31,0%,0%,57.61W,-nan%
23:00:32,0%,0%,57.60W,-nan%
23:00:33,0%,0%,57.92W,0.0%
23:00:34,0%,0%,57.79W,-nan%
23:00:35,0%,0%,57.74W,-nan%
23:00:36,0%,0%,57.66W,-nan%
23:00:37,0%,0%,57.55W,-nan%
23:00:38,0%,0%,57.51W,0.0%
23:00:39,0%,0%,57.46W,-nan%
23:00:40,0%,0%,57.82W,inf%
23:00:41,0%,0%,57.37W,-nan%
23:00:42,0%,0%,57.79W,-nan%
23:00:44,0%,0%,57.49W,0.0%
23:00:45,0%,0%,57.25W,-nan%
23:00:46,0%,0%,57.58W,-nan%
23:00:47,0%,0%,57.90W,-nan%
23:00:48,0%,0%,57.79W,-nan%
23:00:49,0%,0%,57.59W,0.0%
23:00:50,0%,0%,57.85W,-nan%
23:00:51,0%,0%,57.32W,-nan%
23:00:52,0%,0%,57.81W,-nan%
23:00:53,0%,0%,57.40W,-nan%
23:00:54,0%,0%,57.78W,0.0%
23:00:55,0%,0%,57.70W,-nan%
23:00:56,0%,0%,57.64W,-nan%
23:00:57,0%,0%,57.46W,-nan%
23:00:58,0%,0%,57.52W,0.0%
23:00:59,0%,0%,57.66W,-nan%
23:01:01,0%,0%,57.51W,inf%
23:01:02,0%,0%,57.48W,-nan%
23:01:03,0%,0%,57.53W,-nan%
23:01:04,0%,0%,57.49W,0.0%
23:01:05,0%,0%,57.59W,-nan%
23:01:06,0%,0%,57.71W,-nan%
23:01:07,0%,0%,57.54W,-nan%
23:01:08,0%,0%,57.63W,-nan%
23:01:09,0%,0%,57.77W,0.0%
23:01:10,0%,0%,57.75W,-nan%
23:01:11,0%,0%,57.80W,-nan%
23:01:12,0%,0%,57.85W,-nan%
23:01:13,0%,0%,57.71W,-nan%
23:01:14,0%,0%,57.88W,0.0%
23:01:15,0%,0%,57.38W,-nan%
23:01:17,0%,0%,57.21W,-nan%
23:01:18,0%,0%,56.99W,-nan%
23:01:19,0%,0%,57.17W,-nan%
23:01:20,0%,0%,57.22W,0.0%
23:01:21,0%,0%,57.30W,inf%
23:01:22,0%,0%,57.30W,-nan%
23:01:23,0%,0%,57.30W,-nan%
23:01:24,0%,0%,57.47W,-nan%
23:01:25,0%,0%,57.33W,0.0%
23:01:26,0%,0%,57.51W,-nan%
23:01:27,0%,0%,57.71W,-nan%
23:01:28,0%,0%,57.80W,-nan%
23:01:29,0%,0%,57.57W,-nan%
23:01:30,0%,0%,57.48W,0.0%
23:01:31,0%,0%,57.81W,-nan%
23:01:32,0%,0%,57.78W,-nan%
23:01:34,0%,0%,57.72W,-nan%
23:01:35,0%,0%,57.54W,-nan%
23:01:36,0%,0%,57.60W,0.0%
23:01:37,0%,0%,51.22W,-nan%
23:01:38,0%,0%,34.36W,-nan%
23:01:39,0%,0%,46.19W,-nan%
23:01:40,0%,0%,57.23W,-nan%
23:01:41,0%,0%,57.21W,0.0%
23:01:42,0%,0%,57.42W,inf%
23:01:43,0%,0%,57.49W,-nan%
23:01:44,0%,0%,57.50W,-nan%
23:01:45,0%,0%,57.46W,-nan%
23:01:46,80%,22%,258.58W,0.0%
23:01:47,0%,0%,82.38W,-nan%
23:01:48,0%,0%,76.47W,-nan%
23:01:50,0%,0%,57.17W,-nan%
23:01:51,0%,0%,57.42W,0.0%
23:01:52,0%,0%,57.15W,-nan%
23:01:53,9%,0%,274.68W,-nan%
23:01:54,0%,0%,268.21W,-nan%
23:01:55,0%,0%,81.55W,-nan%
23:01:56,0%,0%,66.26W,0.0%
23:01:57,0%,0%,57.23W,-nan%
23:01:58,0%,0%,57.07W,-nan%
23:01:59,0%,0%,57.06W,-nan%
23:02:00,10%,0%,195.31W,-nan%
23:02:01,94%,29%,345.82W,0.0%
23:02:02,28%,7%,287.81W,-nan%
