
12:48:47,0%,0%,10.43W,9.7%
12:48:48,0%,0%,10.72W,4.0%
12:48:49,0%,0%,10.85W,4.6%
12:48:50,0%,0%,10.99W,3.9%
12:48:51,0%,0%,10.98W,4.5%
12:48:52,0%,0%,11.14W,4.1%
12:48:53,0%,0%,11.08W,4.2%
12:48:54,0%,0%,10.72W,4.5%
12:48:55,0%,0%,10.52W,4.7%
12:48:57,0%,0%,11.03W,4.1%
12:48:58,0%,0%,11.07W,4.1%
12:48:59,0%,0%,11.03W,4.1%
12:49:00,0%,0%,10.91W,4.5%
12:49:01,0%,0%,11.07W,4.1%
12:49:02,0%,0%,11.28W,9.7%
12:49:03,0%,0%,11.41W,9.7%
12:49:04,0%,0%,11.04W,12.0%
12:49:05,0%,0%,11.02W,8.1%
12:49:06,0%,0%,11.08W,1.2%
12:49:07,0%,0%,12.02W,2.4%
12:49:08,0%,0%,48.81W,6.9%
12:49:09,48%,1%,49.85W,6.6%
12:49:10,0%,0%,75.40W,6.5%
12:49:11,0%,0%,74.58W,6.5%
12:49:12,0%,0%,47.58W,6.9%
12:49:13,0%,0%,48.05W,6.5%
12:49:14,0%,0%,47.76W,7.1%
12:49:15,0%,0%,47.91W,6.6%
12:49:16,0%,0%,47.50W,7.0%
12:49:18,0%,0%,47.29W,6.9%
12:49:19,0%,0%,47.98W,6.5%
12:49:20,0%,0%,48.28W,12.0%
12:49:21,0%,0%,48.31W,13.1%
12:49:22,0%,0%,48.30W,12.8%
12:49:23,0%,0%,48.46W,12.8%
12:49:24,0%,0%,48.13W,13.2%
12:49:25,0%,0%,48.26W,13.4%
12:49:26,0%,0%,48.60W,11.4%
12:49:27,0%,0%,48.59W,6.6%
12:49:28,0%,0%,48.46W,7.7%
12:49:29,0%,0%,48.61W,7.2%
12:49:30,0%,0%,48.22W,6.6%
12:49:31,0%,0%,48.47W,6.6%
12:49:32,0%,0%,48.36W,6.5%
12:49:33,0%,0%,48.21W,6.9%
12:49:34,0%,0%,48.44W,6.5%
12:49:35,0%,0%,48.42W,6.6%
12:49:36,0%,0%,48.56W,6.5%
12:49:37,0%,0%,48.31W,7.0%
12:49:38,0%,0%,48.36W,6.8%
12:49:39,0%,0%,48.47W,6.6%
12:49:41,0%,0%,48.44W,6.8%
12:49:42,0%,0%,54.94W,3.7%
12:49:43,0%,0%,48.29W,0.2%
12:49:44,0%,0%,48.74W,0.2%
12:49:45,0%,0%,48.50W,0.7%
12:49:46,0%,0%,48.76W,0.7%
12:49:47,0%,0%,48.37W,0.4%
12:49:48,0%,0%,48.54W,0.4%
12:49:49,0%,0%,48.64W,1.8%
12:49:50,0%,0%,48.42W,10.6%
12:49:51,0%,0%,48.19W,6.8%
12:49:52,0%,0%,48.36W,6.9%
12:49:53,0%,0%,48.06W,6.5%
12:49:54,0%,0%,48.24W,6.5%
12:49:55,0%,0%,48.65W,9.6%
12:49:56,0%,0%,48.24W,6.6%
12:49:57,0%,0%,47.97W,6.5%
12:49:58,0%,0%,47.60W,6.5%
12:49:59,0%,0%,47.68W,7.0%
12:50:00,0%,0%,47.67W,6.8%
12:50:01,0%,0%,47.67W,11.9%
12:50:02,0%,0%,48.10W,11.3%
12:50:03,0%,0%,48.46W,7.9%
12:50:05,0%,0%,48.12W,6.6%
12:50:06,0%,0%,47.94W,6.5%
12:50:07,0%,0%,47.81W,6.5%
12:50:08,0%,0%,48.04W,8.9%
12:50:09,0%,0%,47.89W,13.9%
12:50:10,0%,0%,48.02W,12.8%
12:50:11,0%,0%,47.82W,12.8%
12:50:12,0%,0%,47.86W,13.5%
12:50:13,0%,0%,47.96W,12.8%
12:50:14,0%,0%,48.32W,12.8%
12:50:15,0%,0%,48.04W,7.5%
12:50:16,0%,0%,48.18W,7.0%
12:50:17,0%,0%,48.11W,6.6%
12:50:18,0%,0%,48.21W,6.5%
12:50:19,0%,0%,48.34W,6.6%
12:50:20,0%,0%,48.23W,6.9%
12:50:21,0%,0%,48.30W,6.5%
12:50:22,0%,0%,48.27W,6.5%
12:50:23,0%,0%,48.52W,6.6%
12:50:24,0%,0%,48.14W,6.9%
12:50:25,0%,0%,48.32W,6.5%
12:50:26,0%,0%,48.51W,7.0%
12:50:28,0%,0%,48.87W,6.5%
12:50:29,0%,0%,48.73W,7.3%
12:50:30,0%,0%,48.86W,6.5%
12:50:31,0%,0%,48.68W,6.6%
12:50:32,0%,0%,48.41W,6.5%
12:50:33,0%,0%,48.79W,6.8%
12:50:34,0%,0%,48.82W,6.6%
12:50:35,0%,0%,48.83W,6.6%
12:50:36,0%,0%,48.81W,6.5%
12:50:37,0%,0%,48.67W,7.0%
12:50:38,0%,0%,48.68W,7.0%
12:50:39,0%,0%,49.27W,6.5%
12:50:40,0%,0%,48.92W,6.6%
12:50:41,0%,0%,48.85W,6.9%
12:50:42,0%,0%,49.23W,6.6%
12:50:43,0%,0%,49.05W,6.5%
12:50:44,0%,0%,48.97W,6.6%
12:50:45,0%,0%,48.96W,6.9%
12:50:46,0%,0%,48.71W,6.5%
12:50:47,0%,0%,48.52W,6.6%
12:50:48,18%,3%,54.08W,6.5%
12:50:49,0%,0%,48.95W,7.4%
12:50:51,0%,0%,48.69W,6.7%
12:50:52,0%,0%,48.68W,6.5%
12:50:53,0%,0%,48.70W,6.5%
12:50:54,0%,0%,114.58W,7.2%
12:50:55,0%,0%,63.96W,6.5%
12:50:56,0%,0%,51.52W,6.5%
12:50:57,0%,0%,48.16W,6.5%
12:50:58,94%,19%,98.31W,7.1%
12:50:59,94%,20%,305.55W,6.6%
12:51:00,41%,13%,302.38W,6.9%
12:51:01,0%,0%,116.59W,7.0%
12:51:02,0%,0%,73.78W,7.1%
12:51:03,0%,0%,48.88W,6.6%
12:51:04,0%,0%,48.72W,6.5%
12:51:05,0%,0%,49.09W,6.6%
12:51:06,91%,30%,254.90W,7.5%
12:51:07,80%,33%,348.18W,6.8%
12:51:08,82%,39%,377.60W,6.6%
12:51:09,76%,42%,369.53W,6.7%
12:51:10,28%,10%,322.82W,7.5%
12:51:11,95%,18%,236.28W,8.3%
12:51:12,76%,32%,300.66W,9.1%
12:51:14,72%,35%,326.04W,7.7%
12:51:15,3%,0%,142.67W,8.0%
12:51:16,84%,21%,296.18W,7.1%
12:51:17,74%,30%,341.64W,6.9%
12:51:18,6%,0%,322.23W,7.5%
12:51:19,22%,5%,179.46W,8.1%
12:51:20,78%,34%,291.97W,7.3%
12:51:21,77%,45%,368.51W,6.8%
12:51:22,74%,40%,254.21W,6.6%
12:51:23,50%,13%,247.24W,7.7%
12:51:24,76%,29%,404.14W,7.2%
12:51:25,35%,8%,261.80W,7.9%
12:51:26,97%,18%,255.83W,8.7%
12:51:27,77%,25%,303.00W,6.7%
12:51:28,45%,14%,329.15W,7.8%
12:51:29,3%,0%,262.46W,7.1%
12:51:30,71%,34%,328.33W,6.7%
12:51:31,74%,36%,375.00W,6.7%
12:51:32,37%,6%,315.83W,7.7%
12:51:33,78%,35%,324.01W,7.1%
12:51:34,75%,35%,337.07W,7.4%
12:51:36,8%,0%,183.53W,7.8%
12:51:37,68%,30%,301.66W,7.6%
12:51:38,59%,24%,274.58W,7.0%
12:51:39,67%,29%,285.08W,7.0%
12:51:40,23%,5%,185.28W,7.6%
12:51:41,72%,18%,316.74W,7.1%
12:51:42,74%,22%,344.14W,6.9%
12:51:43,77%,31%,374.75W,6.9%
12:51:44,74%,41%,375.49W,7.2%
